date,ci,weather_dummy,wind,aqi,life_impact,is_holiday_near,is_holiday_mid,is_nonwork_weekend,is_holiday_day_or_window,is_bad_weather,is_aqi_high,test_fold_1,test_fold_2,test_fold_3,test_fold_4,test_fold_5,test_fold_6,test_fold_7,test_fold_8,test_fold_9,test_fold_10,ci_lag1,ci_lag2,ci_lag3,ci_lag7,ci_lag8,ci_lag14,ci_lag21,ci_lag28,ci_roll3_prev_mean,ci_roll7_prev_mean,ci_roll14_prev_mean,ci_roll7_prev_std,ci_diff1_lag1,ci_diff7_lag1,dow,month,dow_sin,dow_cos,doy_sin,doy_cos
2017-05-04,71.59435793968125,2,1,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75.36354056927964,67.60651072660363,61.24630254612131,65.43414654938687,63.93494621622924,83.0347734459111,55.08833771024529,66.07644702112383,68.07211794733486,65.43717252034463,68.69679239435098,4.833995215737986,7.757029842676005,11.428594353050393,3.0,5.0,0.43388373911755823,-0.900968867902419,0.8460055349535992,-0.5331741130511443
2017-05-05,63.35677951112435,2,1,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,71.59435793968125,75.36354056927964,67.60651072660363,66.58336587201305,65.43414654938687,74.69727685452209,63.128326370601975,61.27240536365781,71.52146974518816,66.31720271895811,67.8796198581917,5.292343786732114,-3.76918262959839,6.1602113902943785,4.0,5.0,-0.433883739117558,-0.9009688679024191,0.8367087334614722,-0.5476481492247545
2017-05-06,60.76800051313592,2,1,81,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,63.35677951112435,71.59435793968125,75.36354056927964,60.40159826220868,66.58336587201305,80.5268703900893,54.33408396726038,57.70568003694775,70.10489267336173,65.85626181025972,67.0695843336633,5.388722567879125,-8.237578428556894,-3.226586360888696,5.0,5.0,-0.9749279121818236,-0.2225209339563146,0.8271643262255062,-0.561960120844802
2017-05-07,48.918551721189786,2,1,41,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,60.76800051313592,63.35677951112435,71.59435793968125,61.42474311679926,60.40159826220868,73.19090894459104,52.17354094322312,61.21543917379915,65.23971265464716,65.90860498896362,65.65823648530947,5.337016105089087,-2.5887789979884346,0.3664022509272371,6.0,5.0,-0.7818314824680299,0.6234898018587334,0.8173751377053472,-0.5761057925946976
2017-05-08,44.97825656677907,2,1,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48.918551721189786,60.76800051313592,63.35677951112435,61.24630254612131,61.42474311679926,63.94211379300264,64.61565206139032,59.20493385929517,57.68111058181668,64.12200621816227,63.92449668363797,7.978538470889098,-11.84944879194613,-12.506191395609477,0.0,5.0,0.0,1.0,0.8073440647983365,-0.5900809783706804
2017-05-09,61.6221724174301,2,1,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44.97825656677907,48.918551721189786,60.76800051313592,67.60651072660363,61.24630254612131,64.36799623415587,68.7153455673363,68.70823147975268,51.55493626703492,61.797999649684805,62.569935453193416,10.460851961434658,-3.9402951544107125,-16.26804597934224,1.0,5.0,0.7818314824680298,0.6234898018587336,0.7970740759822359,-0.6038815425206047
2017-05-10,67.80864709283034,2,1,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61.6221724174301,44.97825656677907,48.918551721189786,75.36354056927964,67.60651072660363,63.93494621622924,74.25711275053469,56.57796344464179,51.83966023513298,60.94309417694573,62.37380518057016,10.192308283540077,16.643915850651027,-5.9843383091735305,2.0,5.0,0.9749279121818236,-0.22252093395631434,0.7865682104367726,-0.6175034010677942
2017-05-11,68.96990152539519,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.80864709283034,61.6221724174301,44.97825656677907,71.59435793968125,75.36354056927964,65.43414654938687,83.0347734459111,55.08833771024529,58.136358692346505,59.86382368031012,62.65049810032737,8.930004047985934,6.186474675400241,-7.554893476449294,3.0,5.0,0.43388373911755823,-0.900968867902419,0.7758295771442586,-0.6309425229196086
2017-05-12,69.26494894372716,2,1,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68.96990152539519,67.80864709283034,61.6221724174301,63.35677951112435,71.59435793968125,66.58336587201305,74.69727685452209,63.128326370601975,66.13357367855188,59.4889013354121,62.90305202718512,8.47303334481863,1.1612544325648457,-2.6244564142860582,4.0,5.0,-0.433883739117558,-0.9009688679024191,0.7648613539695567,-0.6441949310603557
2017-05-13,64.83672366838013,2,1,49,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,69.26494894372716,68.96990152539519,67.80864709283034,60.76800051313592,63.35677951112435,60.40159826220868,80.5268703900893,54.33408396726038,68.68116585398423,60.33292554006965,63.09459367516469,9.088218792075315,0.29504741833197556,5.908169432602811,5.0,5.0,-0.9749279121818236,-0.2225209339563146,0.7536667867196597,-0.6572567037282031
